date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2015-01-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,35.0,0.38
2015-02-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,35.0,0.38
2015-06-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,36.0,0.37
2015-07-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,42.0,0.41
2015-08-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,41.0,0.4
2015-09-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,39.25,0.37
2015-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,31.25,0.3
2015-11-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,44.47,0.43
2015-12-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,42.5,0.42
2016-01-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,39.17,0.38
2016-02-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,39.38,0.39
2016-03-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,38.35,0.38
2016-05-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,41.67,0.41
2016-08-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,53.45,0.53
2016-09-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,54.0,0.53
2016-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,58.0,0.57
2016-12-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,50.0,0.49
2017-01-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,53.2,0.51
2017-03-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,57.3,0.56
2017-05-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,60.0,0.58
2017-06-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,80.0,0.78
2017-09-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,64.0,0.62
2017-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,60.0,0.58
2017-11-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,50.83,0.49
2018-01-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,55.0,0.53
2018-02-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,55.0,0.54
2018-03-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,58.0,0.57
2018-04-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,50.0,0.5
2018-06-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,57.0,0.56
2018-07-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,55.0,0.55
2018-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,55.3,0.55
2018-12-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,42.0,0.41
2019-01-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,63.0,0.62
2019-02-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,64.0,0.64
2019-03-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,54.0,0.54
2019-04-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,51.0,0.51
2019-07-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,59.3,0.58
2019-08-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,56.8,0.55
2019-09-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,52.2,0.5
2019-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,40.0,0.39
2019-12-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,66.0,0.65
2020-05-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,66.0,0.62
2020-06-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,57.0,0.53
2020-07-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,57.0,0.53
2020-08-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,66.0,0.61
2020-09-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,55.0,0.51
2020-10-15,,,Hola (Tana River),1854,,,cereals and tubers,Maize (white),67,KG,actual,Retail,KES,53.0,0.49
